,Article Type,URL,Has Tweet Source?,Location Tweet Source
46,in-the-red,https://www.abc.net.au/news/2017-09-18/fact-check-mandatory-drug-testing-for-welfare-recipients/8948840,False,
47,in-the-red,https://www.abc.net.au/news/2017-08-25/fact-check-english-speaking-countries-same-sex-marriage/8827842,True,"['A narrower claim was made in an August 14 tweet from the Sydney Mardi Gras, which stated there is same-sex marriage in ""Every major English-speaking democracy EXCEPT Australia"".']"
48,in-the-red,https://www.abc.net.au/news/2017-08-17/fact-check-corolla-emissions-comparison-uk-australia/8805598,False,
49,in-the-red,https://www.abc.net.au/news/2017-08-10/fact-check-were-refugees-supposed-to-be-resettled-in-australia/8775992,True,"['tweeted', 'The phrase ""1year only"" in Mr Rudd\'s tweet does not reflect the timing set out in the 2013 arrangement he signed.', ""Mr Rudd's tweet contains a link to an "", 'Mr Rudd\'s use of phrases in 2013 – ""from now on"", no chance"", ""doesn\'t apply any more"", ""no prospect"", ""never"" – do not support his 2017 tweet.']"
50,in-the-red,https://www.abc.net.au/news/2017-07-24/fact-check-have-700000-of-the-poorest-workers-received-pay-cut/8694966,False,
51,in-the-red,https://www.abc.net.au/news/2017-06-14/fact-check-do-taxpayers-subsidise-over-half-higher-education/8605406,False,
52,in-the-red,https://www.abc.net.au/news/2017-06-08/fact-check-has-turnbull-announced-a-tax-cut-for-millionaires/8542472,False,
53,in-the-red,https://www.abc.net.au/news/2017-06-05/fact-check-has-the-government-cut-22bn-from-schools/8526768,False,
54,in-the-red,https://www.abc.net.au/news/2016-06-24/fact-check-labors-economic-plan/7512106,False,
55,in-the-red,https://www.abc.net.au/news/2016-06-14/fact-check-is-labor-responsible-for-a-record-deficit/7495860,False,
56,in-the-red,https://www.abc.net.au/news/2016-06-08/fact-check-do-emissions-always-rise-under-the-coalition/7466354,False,
57,in-the-red,https://www.abc.net.au/news/2016-06-02/fact-check-are-there-over-a-million-457s-out-there/7463706,False,
58,in-the-red,https://www.abc.net.au/news/2016-05-13/fact-check-bill-shorten-budget-2016/7400702,False,
59,in-the-red,https://www.abc.net.au/news/2016-05-12/fact-check-is-the-government-not-yet-in-caretaker-mode/7409042,False,
60,in-the-red,https://www.abc.net.au/news/2016-04-27/will-building-workers-have-less-rights-than-ice-dealers-abcc/7340868,False,
61,in-the-red,https://www.abc.net.au/news/2016-03-17/fact-check-did-some-crossbenchers-get-more-votes-than-ministers/7255276,True,"['""Nearly 7,000 Qlders voted for me personally. Matt Canavan (NAT), now a minister ONLY got 325 votes. Most crossbenchers received more votes!"" Senator Glenn Lazarus tweeted on February 26, 2016.', '""Muir \'got more votes than Minister Cash\',"" Senator John Madigan tweeted several days later on March 1.']"
62,in-the-red,https://www.abc.net.au/news/2016-02-11/fact-check-do-women-sleeping-rough-outnumber-army-soldiers/7132982,False,
